id,start_date_local,name,type,moving_time,distance,elapsed_time,total_elevation_gain,max_speed,average_speed,has_heartrate,max_heartrate,average_heartrate,average_cadence,calories,device_watts,icu_average_watts,icu_normalized_watts,icu_joules,icu_intensity,icu_training_load,icu_training_load_edited,icu_rpe,pace,icu_fatigue,icu_fitness,icu_eftp,icu_variability,icu_efficiency,trainer,commute,race,sub_type,icu_ftp,icu_w_prime,p_max,threshold_pace,power_load,hr_load,pace_load,icu_resting_hr,lthr,hr_z1,hr_z2,hr_z3,hr_z4,hr_z5,hr_z6,hr_max,hr_z1_secs,hr_z2_secs,hr_z3_secs,hr_z4_secs,hr_z5_secs,hr_z6_secs,hr_z7_secs,z1_secs,z2_secs,z3_secs,z4_secs,z5_secs,z6_secs,z7_secs,sweet_spot_secs,icu_weight,icu_ignore_power,icu_ignore_hr,icu_ignore_time,icu_recording_time,icu_warmup_time,icu_cooldown_time,icu_hrrc,icu_hrrc_start_bpm,icu_power_spike_threshold,icu_pm_ftp,icu_pm_cp,icu_pm_w_prime,icu_pm_p_max,start_date,icu_sync_date,timezone,file_type,external_id,compliance,gear,description
i102995284,2025-10-21T13:03:23,"Paimio Road Cycling","Ride",3620,27030.85,3675,152.0,12.456,7.468,true,165,144,85.17175,658,true,149,170,541750,60.714287,37,,,7.4670854,35.56394,27.80199,233,1.1409396,1.1805556,,false,false,,280,,,,37,49,,49,177,142,158,165,176,181,186,195,1324,2098,198,0,0,0,0,1584,1420,396,138,37,30,15,210,94.0,false,false,false,3632,1200,600,,,,175,172,14527,879,2025-10-21T10:03:23Z,2025-10-21T11:07:55Z,,"fit","20753794549",,,
i102995236,2025-10-21T10:10:09,"Turku Gravel/Unpaved Cycling","GravelRide",7379,56834.82,8284,333.0,14.77,7.692,true,164,138,85.914604,1648,true,191,214,1421367,76.42857,120,,,7.702239,35.56394,27.80199,233,1.1204189,1.5507246,,false,false,,280,,,,120,89,,49,177,142,158,165,176,181,186,195,4070,3257,52,0,0,0,0,1728,2911,1417,627,327,278,91,763,94.0,false,false,false,7430,1200,600,,,,204,199,18568,1037,2025-10-21T07:10:09Z,2025-10-21T11:07:45Z,,"fit","20753791272",,,
i102896061,2025-10-18T11:02:37,"Lunch Run","Run",2103,6087.63,2106,60.58992,3.331,2.89,true,172,156,76.76457,574,,,,,79.58523,37,,,2.894736,22.509808,25.89304,,,,false,false,false,,,,,,,37,,49,177,149,158,167,176,181,186,195,526,424,947,210,0,0,0,,,,,,,,,94.0,false,false,false,2103,300,300,,,,,,,,2025-10-18T08:02:37Z,2025-10-20T18:40:51Z,,"fit","20723418654",,"ASICS MS4",
i102896064,2025-10-17T13:00:13,"Afternoon Run","Run",1494,5540.0,1497,,3.088,3.702,true,181,164,76.85581,448,,,,,89.172905,33,,,3.708166,20.284622,25.625416,,,,true,false,false,,,,,,,33,,50,177,149,158,167,176,181,186,195,267,74,151,802,193,0,0,,,,,,,,,94.0,false,false,false,1494,300,300,,,,,,,,2025-10-17T10:00:13Z,2025-10-20T18:40:52Z,,"fit","20718153897",,"ASICS MS4",
i102896066,2025-10-15T17:58:13,"Afternoon Run","Run",4299,12778.86,4639,94.92172,3.947,2.963,true,173,157,76.37474,1158,,,,,78.33784,77,,,2.9725192,21.147137,26.060892,,,,false,false,false,,,,,,,77,,47,177,149,158,167,176,181,186,195,415,1696,2038,167,0,0,0,,,,,,,,,94.0,false,false,false,4517,300,300,,,,,,,,2025-10-15T14:58:13Z,2025-10-20T18:40:53Z,,"fit","20698312651",,"ASICS MS4",
i102896073,2025-10-12T17:29:00,"Treadmill Running","VirtualRun",1680,5010.0,1680,,,2.982,,,,,461,,,,,,,,,2.982143,16.727175,26.044659,,,,true,false,false,,,,,,,,,49,177,149,158,167,176,181,186,195,,,,,,,,,,,,,,,,94.0,false,false,false,1680,300,300,,,,,,,,2025-10-12T14:29:00Z,2025-10-20T18:40:54Z,,"fit","20667542188",,,
i102896076,2025-10-11T12:29:45,"Lunch Run","Run",1498,5970.41,2210,23.355423,5.104,3.922,true,187,160,84.706894,475,,,,,86.71552,32,,,3.9855876,19.295883,26.67221,,,,false,false,false,,,,,,,32,,42,177,149,158,167,176,181,186,195,368,158,264,411,223,91,7,,,,,,,,,94.0,false,false,false,1532,300,300,,,,,,,,2025-10-11T09:29:45Z,2025-10-20T18:40:55Z,,"fit","20654269243",,"ASICS MS4",
i102896079,2025-10-09T21:11:38,"Night Run","Run",1527,5010.0,1530,,4.619,3.276,true,171,157,76.39163,440,,,,,79.757484,27,,,3.280943,20.008556,27.183416,,,,true,false,false,,,,,,,27,,44,177,149,158,167,176,181,186,195,95,735,688,8,0,0,0,,,,,,,,,94.0,false,false,false,1528,300,300,,,,,,,,2025-10-09T18:11:38Z,2025-10-20T18:40:55Z,,"fit","20639933458",,"ASICS MS4",
i102896080,2025-10-07T12:14:37,"Lunch Run","Run",3722,11175.16,3918,71.64815,3.658,2.995,true,170,157,76.51946,1008,,,,,78.20377,66,,,3.0024612,21.842655,27.842934,,,,false,false,false,,,,,,,66,,48,177,149,158,167,176,181,186,195,399,1396,1870,71,0,0,0,,,,,,,,,94.0,false,false,false,3885,300,300,,,,,,,,2025-10-07T09:14:37Z,2025-10-20T18:40:57Z,,"fit","20614164337",,"ASICS MS4",
i102896145,2025-10-04T14:23:09,"Afternoon Run","Run",1544,5680.0,1593,,5.458,3.598,true,186,170,75.95222,459,,,,,91.701096,37,,,3.6787565,20.042698,28.23662,,,,true,false,false,,,,,,,37,,52,177,149,158,167,176,181,186,195,253,104,248,283,250,396,0,,,,,,,,,94.0,false,false,false,1584,300,300,33,184,,,,,,2025-10-04T11:23:09Z,2025-10-20T18:41:18Z,,"fit","20585732885",,"ASICS MS4",
i102896147,2025-09-30T18:05:56,"Evening Run","Run",3336,10084.58,3392,86.49941,3.424,3.018,true,169,153,77.113205,906,,,,,77.824615,57,,,3.0229557,26.769428,30.10051,,,,false,false,false,,,,,,,57,,45,177,149,158,167,176,181,186,195,512,2337,471,20,0,0,0,,,,,,,,,94.0,false,false,false,3388,300,300,,,,,,,,2025-09-30T15:05:56Z,2025-10-20T18:41:20Z,,"fit","20547898609",,"ASICS MS4",
i102896153,2025-09-29T21:02:15,"Night Run","Run",1204,4501.99,1218,,4.768,3.695,true,182,174,75.37559,391,,,,,98.84198,33,,,3.7391946,22.127071,29.45236,,,,true,false,false,,,,,,,33,,45,177,149,158,167,176,181,186,195,17,17,34,454,612,74,0,,,,,,,,,94.0,false,false,false,1216,300,300,,,,,,,,2025-09-29T18:02:15Z,2025-10-20T18:41:20Z,,"fit","20539499863",,"ASICS MS4",
i102896154,2025-09-23T22:12:45,"Night Run","Run",1781,5316.15,1843,4.197735,3.247,2.982,true,167,152,78.03807,470,,,,,75.28448,29,,,2.984924,41.788826,33.079544,,,,false,false,false,,,,,,,29,,52,177,149,158,167,176,181,186,195,380,1123,282,0,0,0,0,,,,,,,,,94.0,false,false,false,1842,300,300,,,,,,,,2025-09-23T19:12:45Z,2025-10-20T18:41:21Z,,"fit","20479991168",,"ASICS MS4",
i102896158,2025-09-22T16:34:32,"Afternoon Run","Run",6567,21647.61,7438,60.44525,3.63,3.293,true,174,161,77.49142,1849,,,,,84.19208,132,,,3.296423,43.752743,33.17784,,,,false,false,false,,,,,,,132,,52,177,149,158,167,176,181,186,195,402,749,4643,772,0,0,0,,,,,,,,,94.0,false,false,false,6704,300,300,,,,,,,,2025-09-22T13:34:32Z,2025-10-20T18:41:23Z,,"fit","20466634142",,"ASICS MS4","Tuli jano eikä Sale myyny energiaa"
